group,esu,year,count,etrend,trigger,Ave4yr,Ave10yr,logbplus1,geomean10,geomean5,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",2009,1027,,,758,1600,6.9354,1280,883,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",2010,2476,,,1144,1758,7.8148,1416,914,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",2011,2167,,,1586,1494,7.6816,1307,1082,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",2012,4238,,,2477,1722,8.3521,1412,1736,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",2013,2517,,,2850,1815,7.8312,1480,2259,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",2014,4415,,,3334,2093,8.3930,1634,3024,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",2015,6090,,,4315,2494,8.7146,1819,3620,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",2016,3764,,,4197,2777,8.2335,2091,4042,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",2017,1589,,,3965,2896,7.3715,2402,3322,
UCR Spring Chinook@RIS,"Salmon, Chinook (Upper Columbia River spring-run ESU)",2018,1215,,,3165,2950,7.1033,2547,2872,
SR Fall Chinook@LGR,,1980,,,450,,,0.0000,,,
SR Fall Chinook@LGR,,1981,,,340,,,0.0000,,,
SR Fall Chinook@LGR,,1982,,,720,,,0.0000,,,
SR Fall Chinook@LGR,,1983,,,428,,,0.0000,,,
SR Fall Chinook@LGR,,1984,,,324,,,0.0000,,,
SR Fall Chinook@LGR,,1985,,,438,,,0.0000,,,
SR Fall Chinook@LGR,,1986,449,,449,,,6.1092,,,
SR Fall Chinook@LGR,,1987,253,,253,,,5.5373,,,
SR Fall Chinook@LGR,,1988,368,,368,,,5.9108,,,
SR Fall Chinook@LGR,,1989,295,,295,,341,5.6904,,,
SR Fall Chinook@LGR,,1990,78,212,78,249,289,4.3694,,249,
SR Fall Chinook@LGR,,1991,318,255,318,265,294,5.7652,,233,
SR Fall Chinook@LGR,,1992,549,307,549,310,330,6.3099,,272,
SR Fall Chinook@LGR,,1993,742,368,742,422,382,6.6107,,313,
SR Fall Chinook@LGR,,1994,406,443,406,504,384,6.0088,,333,
SR Fall Chinook@LGR,,1995,348,533,350,511,381,5.8551,335,449,
SR Fall Chinook@LGR,,1996,639,640,639,534,400,6.4615,347,517,
SR Fall Chinook@LGR,,1997,795,770,797,547,454,6.6796,389,556,
SR Fall Chinook@LGR,,1998,304,925,306,522,447,5.7203,381,465,
SR Fall Chinook@LGR,,1999,905,1112,905,661,508,6.8090,427,546,
SR Fall Chinook@LGR,,2000,1148,1337,1148,788,615,7.0466,558,694,
SR Fall Chinook@LGR,,2001,5163,1607,5163,1880,1100,8.5495,738,1053,
SR Fall Chinook@LGR,,2002,2116,1932,2116,2333,1257,7.6578,844,1281,
SR Fall Chinook@LGR,,2003,4257,2323,3856,3171,1608,8.3566,1005,2172,
SR Fall Chinook@LGR,,2004,3329,2792,2983,3716,1900,8.1107,1241,2818,
SR Fall Chinook@LGR,,2005,5177,3356,2602,3720,2383,8.5522,1625,3809,
SR Fall Chinook@LGR,,2006,4669,4035,2483,4358,2786,8.4489,1983,3733,
SR Fall Chinook@LGR,,2007,3742,4851,2016,4229,3081,8.2276,2315,4184,
SR Fall Chinook@LGR,,2008,3930,5831,,4380,3444,8.2766,2990,4117,
SR Fall Chinook@LGR,,2009,4977,7010,,4330,3851,8.5128,3546,4462,
SR Fall Chinook@LGR,,2010,7995,8427,,5161,4536,8.9867,4306,4867,
SR Fall Chinook@LGR,,2011,8778,10130,,6420,4897,9.0801,4540,5522,
SR Fall Chinook@LGR,,2012,12797,12177,,8637,5965,9.4570,5436,7062,
SR Fall Chinook@LGR,,2013,21124,14639,,12674,7652,9.9582,6380,9886,
SR Fall Chinook@LGR,,2014,14172,17598,,14218,8736,9.5591,7374,12187,
SR Fall Chinook@LGR,,2015,17965,21155,,16515,10015,9.7962,8351,14329,
SR Fall Chinook@LGR,,2016,9656,25431,,15729,10514,9.1754,8981,14605,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,1980,,,,,,0.0000,,,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,1981,,,,,,0.0000,,,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,1982,,,,,,0.0000,,,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,1983,,,,,,0.0000,,,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,1984,24500,,,,,10.1065,,,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,1985,26700,,,,,10.1925,,,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,1986,22076,,,,,10.0023,,,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,1987,25511,,22029,,,10.1469,,,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,1988,20314,,25392,,,9.9191,,23704,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,1989,24979,,21085,,,10.1258,,23796,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,1990,9289,9267,24968,20023,,9.1367,,19266,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,1991,17317,9805,9287,17975,,9.7595,,18353,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,1992,19394,10374,17316,17745,,9.8728,,17374,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,1993,9122,10976,19346,13781,19920,9.1186,18732,14803,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,1994,8104,11612,7345,13484,18281,9.0002,16770,11819,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,1995,8055,12286,7522,11169,16416,8.9942,14876,11487,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,1996,7625,12999,7042,8227,14971,8.9393,13376,9749,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,1997,8749,13753,7133,8133,13295,9.0768,12019,8314,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,1998,9375,14551,8740,8451,12201,9.1459,11124,8360,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,1999,11098,15396,9384,9212,10813,9.3146,10257,8902,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,2000,20575,16289,11038,12449,11941,9.9319,11106,10739,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,2001,40719,17234,20263,20442,14282,10.6145,12098,15013,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,2002,41931,18234,41024,28581,16535,10.6438,13068,20539,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,2003,29146,19292,42350,33093,18538,10.2801,14677,25769,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,2004,23071,20411,29158,33717,20034,10.0464,16296,29831,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,2005,18130,21595,23051,28070,21042,9.8054,17673,29085,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,2006,9510,22848,18197,19964,21230,9.1602,18068,21745,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,2007,14166,24174,9470,16219,21772,9.5587,18960,17502,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,2008,23876,25577,14402,16421,23222,10.0807,20818,16818,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,2009,42739,27061,,22573,26386,10.6629,23823,19025,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,2010,44133,28631,,31229,28742,10.6950,25712,22730,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,2011,39439,30292,,37547,28614,10.5825,25630,30210,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,2012,23143,32050,,37364,26735,10.0495,24151,33326,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,2013,25355,33909,,33018,26356,10.1408,23817,33729,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,2014,45789,35876,,33432,28628,10.7318,25507,34197,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,2015,33936,37958,,32056,30209,10.4323,27157,32446,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,2016,15576,40160,,30164,30815,9.6536,28530,26945,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,2017,10717,42491,,26505,30470,9.2797,27745,23100,
SR Steelhead@LGR,Snake River Basin Steelhead DPS,2018,7439,44956,,16917,28827,8.9146,24691,18076,
SR Sthd - B-run @LGR,,1980,,,,,,0.0000,,,
SR Sthd - B-run @LGR,,1981,,,,,,0.0000,,,
SR Sthd - B-run @LGR,,1982,,,,,,0.0000,,,
SR Sthd - B-run @LGR,,1983,,,,,,0.0000,,,
SR Sthd - B-run @LGR,,1984,,,,,,0.0000,,,
SR Sthd - B-run @LGR,,1985,,,,,,0.0000,,,
SR Sthd - B-run @LGR,,1986,5477,,,,,8.6085,,,
SR Sthd - B-run @LGR,,1987,5240,,,,,8.5643,,,
SR Sthd - B-run @LGR,,1988,4587,,,,,8.4312,,,
SR Sthd - B-run @LGR,,1989,8110,,,5854,,9.0010,,,
SR Sthd - B-run @LGR,,1990,4483,,,5605,,8.4083,,5445,
SR Sthd - B-run @LGR,,1991,3198,,,5095,,8.0706,,4890,
SR Sthd - B-run @LGR,,1992,5778,,,5392,,8.6620,,4986,
SR Sthd - B-run @LGR,,1993,1790,,,3812,,7.4905,,4131,
SR Sthd - B-run @LGR,,1994,2231,,,3249,,7.7107,,3191,
SR Sthd - B-run @LGR,,1995,1338,,,2784,4223,7.1997,3694,2505,
SR Sthd - B-run @LGR,,1996,1645,,,1751,3840,7.4061,3275,2194,
SR Sthd - B-run @LGR,,1997,1324,,,1635,3448,7.1892,2854,1634,
SR Sthd - B-run @LGR,,1998,2302,,,1652,3220,7.7420,2664,1718,
SR Sthd - B-run @LGR,,1999,885,,,1539,2497,6.7867,2135,1428,
SR Sthd - B-run @LGR,,2000,2885,,,1849,2338,7.9676,2043,1665,
SR Sthd - B-run @LGR,,2001,3174,,,2312,2335,8.0631,2041,1899,
SR Sthd - B-run @LGR,,2002,13623,,,5142,3120,9.5196,2224,3027,
SR Sthd - B-run @LGR,,2003,7261,,,6736,3667,8.8904,2558,3809,
SR Sthd - B-run @LGR,,2004,4774,,,7208,3921,8.4711,2760,5336,
SR Sthd - B-run @LGR,,2005,3480,,,7285,4135,8.1551,3037,5539,
SR Sthd - B-run @LGR,,2006,1633,,,4287,4134,7.3988,3035,4850,
SR Sthd - B-run @LGR,,2007,2924,,,3203,4294,7.9810,3285,3565,
SR Sthd - B-run @LGR,,2008,5659,,,3424,4630,8.6412,3594,3392,
SR Sthd - B-run @LGR,,2009,4529,,,3686,4994,8.4185,4232,3356,
SR Sthd - B-run @LGR,,2010,9584,,,5674,5664,9.1680,4772,4110,
SR Sthd - B-run @LGR,,2011,4198,,,5993,5767,8.3426,4907,4964,
SR Sthd - B-run @LGR,,2012,3337,,,5412,4738,8.1131,4263,5097,
SR Sthd - B-run @LGR,,2013,1885,,,4751,4200,7.5422,3725,4091,
SR Sthd - B-run @LGR,,2014,6928,,,4087,4416,8.8435,3866,4454,
SR Sthd - B-run @LGR,,2015,3130,,,3820,4381,8.0491,3826,3561,
SR Sthd - B-run @LGR,,2016,3001,,,3736,4518,8.0070,4066,3330,
SR Sthd - B-run @LGR,,2017,263,,,3331,4251,5.5759,3195,2003,
SR Sthd - B-run @LGR,,2018,1175,,,1892,3803,7.0699,2731,1823,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),1980,1225,,1225,,,7.1115,,,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),1981,1346,,1346,,,7.2056,,,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),1982,1414,,1414,,,7.2549,,,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),1983,1538,,1538,1381,,7.3389,,,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),1984,1771,,1771,1517,,7.4799,,1447,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),1985,3223,,3223,1987,,8.0784,,1756,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),1986,2342,,2342,2219,,7.7592,,1962,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),1987,4058,,4058,2849,,8.3087,,2423,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),1988,2670,,2670,3073,,7.8902,,2705,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),1989,2685,,2685,2939,2227,7.8958,2063,2940,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),1990,1585,998,1585,2750,2263,7.3690,2117,2551,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),1991,2799,1071,2799,2435,2409,7.9374,2277,2643,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),1992,1618,1149,1618,2172,2429,7.3896,2308,2199,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),1993,890,1234,890,1723,2364,6.7923,2185,1766,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),1994,885,1324,885,1548,2276,6.7867,2039,1414,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),1995,993,1421,993,1097,2053,6.9017,1812,1288,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),1996,843,1526,843,903,1903,6.7382,1636,1013,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),1997,785,1638,785,877,1575,6.6670,1388,877,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),1998,928,1758,928,887,1401,6.8341,1249,884,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),1999,1374,1887,1374,983,1270,7.2262,1168,965,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),2000,2341,2025,2341,1357,1346,7.7588,1215,1146,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),2001,5715,2174,5715,2590,1637,8.6510,1305,1680,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),2002,2983,2333,2983,3103,1774,8.0010,1387,2194,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),2003,2836,2504,2836,3469,1968,7.9505,1557,2744,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),2004,2985,2688,2985,3630,2178,8.0017,1759,3204,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),2005,3127,2885,3127,2983,2392,8.0481,1972,3395,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),2006,1677,3097,1677,2656,2475,7.4254,2113,2657,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),2007,2724,3324,2724,2628,2669,7.9102,2393,2609,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),2008,3030,3568,,2639,2879,8.0166,2693,2644,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),2009,7439,3830,,3717,3486,8.9146,3189,3174,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),2010,7647,4111,,5210,4016,8.9422,3590,3795,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),2011,4896,4413,,5753,3934,8.4964,3535,4702,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),2012,3286,4736,,5817,3965,8.0977,3569,4882,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),2013,5278,5084,,5277,4209,8.5715,3798,5455,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),2014,6831,5457,,5073,4594,8.8294,4126,5363,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),2015,4560,5857,,4989,4737,8.4253,4284,4836,
UCR Sthd@PRD,Steelhead (Upper Columbia River DPS),2016,1423,6287,,4523,4711,7.2612,4214,3777,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),1980,,,,,,0.0000,,,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),1981,,,,,,0.0000,,,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),1982,,,,,,0.0000,,,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),1983,,,,,,0.0000,,,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),1984,1668,,3652,,,7.4200,,,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),1985,1299,,3284,,,7.1701,,,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),1986,2945,,4931,,,7.9882,,,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),1987,1851,,3838,,,7.5240,,,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),1988,2143,,4131,,,7.6704,,1908,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),1989,1097,,3086,,,7.0012,,1755,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),1990,863,727,2853,1489,,6.7616,,1617,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),1991,1594,793,3585,1424,,7.3746,,1430,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),1992,1477,865,3469,1258,,7.2984,,1367,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),1993,883,943,2876,1204,1582,6.7845,1478,1145,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),1994,935,1029,2929,1222,1509,6.8416,1395,1109,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),1995,730,1122,2725,1006,1452,6.5944,1317,1072,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),1996,547,1224,2543,774,1212,6.3063,1113,866,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),1997,1430,1335,3427,911,1170,7.2661,1085,860,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),1998,1144,1456,3142,963,1070,7.0432,1019,906,
Mid-C Sthd@PRO,Steelhead (Middle Columbia River DPS),1999,1518,1589,3517,1160,1112,7.3258,1052,998,
